security_key,latest_project_ticker,canonical_company_name,research_type,from_name_key,to_name_key,search_start_date,search_end_date,candidate_sec_cik,research_priority,required_source_standard,research_question
SJM,SJM,JM SMUCKER CO/THE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000091419,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SNDK,SNDK,Sandisk,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002023554,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SO,SO,SOUTHERN CO/THE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000092122,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SOLV,SOLV,Solventum,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001964738,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SPG,SPG,SIMON PROPERTY GROUP INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001063761,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SPGI,SPGI,S+P GLOBAL INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000064040,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STLD,STLD,Steel Dynamics,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001022671,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STT,STT,STATE STREET CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000093751,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001137789,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
STZ,STZ,CONSTELLATION BRANDS INC A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000016918,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SW,SW,SMURFIT WESTROCK PLC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002005951,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SWK,SWK,STANLEY BLACK + DECKER INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000093556,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SYF,SYF,SYNCHRONY FINANCIAL,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001601712,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
T,T,AT+T INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000732717,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TAP,TAP,MOLSON COORS BEVERAGE CO   B,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000024545,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TEL,TEL,TE CONNECTIVITY PLC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001385157,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TJX,TJX,TJX COMPANIES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TKO,TKO,TKO Group Holdings,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001973266,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TRGP,TRGP,Targa Resources,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001389170,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
TTWO,TTWO,TAKE TWO INTERACTIVE SOFTWRE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000946581,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
UHS,UHS,UNIVERSAL HEALTH SERVICES B,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000352915,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
V,V,VISA INC CLASS A SHARES,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001403161,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WAB,WAB,WABTEC CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000943452,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WBD,WBD,Warner Bros. Discovery,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001437107,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WFC,WFC,WELLS FARGO + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000072971,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WMT,WMT,WALMART INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000104169,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
WRB,WRB,WR BERKLEY CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000011544,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
XOM,XOM,EXXONMOBIL HOLDINGS CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002115436,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
XYL,XYL,XYLEM INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001524472,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
XYZ,XYZ,Block,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001512673,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
